MITRE Descriptions,Tactic,Other Tactics
Adversaries may access data objects from improperly secured cloud storage.,COLLECTION,
Adversaries may collect data related to managed devices from configuration repositories.,COLLECTION,
"Adversaries may leverage information repositories to mine valuable information. Information repositories are tools that allow for storage of information, typically to facilitate collaboration or information sharing between users, and can store a wide variety of data that may aid adversaries in further objectives, or direct access to the target information.",COLLECTION,
"Adversaries may search local system sources, such as file systems and configuration files or local databases, to find files of interest and sensitive data prior to EXFILTRATION.",COLLECTION,
Adversaries may search network shares on computers they have compromised to find files of interest.,COLLECTION,
"Adversaries may target user email to collect sensitive information. Emails may contain sensitive data, including trade secrets or personal information, that can prove valuable to adversaries.",COLLECTION,
Adversaries may use methods of capturing user input to obtain credentials or collect information.,COLLECTION,CREDENTIAL_ACCESS
Adversaries may attempt to take screen captures of the desktop to gather information over the course of an operation.,COLLECTION,
"The adversary is trying to manipulate, interrupt, or destroy your systems and data.",IMPACT,
Adversaries use to disrupt availability or compromise integrity by manipulating business and operational processes.,IMPACT,
Adversaries may interrupt availability of system and network resources by inhibiting access to accounts utilized by legitimate users.,IMPACT,
"Adversaries may destroy data and files on specific systems or in large numbers on a network to interrupt availability to systems, services, and network resources.",IMPACT,
Adversaries may attempt to overwrite files and directories with randomly generated data to make it irrecoverable.,IMPACT,
Adversaries may encrypt data on target systems or on large numbers of systems in a network to interrupt availability to system and network resources.,IMPACT,
"Adversaries may insert, delete, or manipulate data in order to influence external outcomes or hide activity, thus threatening the integrity of the data. By manipulating data, adversaries may attempt to affect a business process, organizational understanding, or decision making.",IMPACT,
"Adversaries may modify visual content available internally or externally to an enterprise network, thus affecting the integrity of the original content.",IMPACT,
"Adversaries may wipe or corrupt raw disk data on specific systems or in large numbers in a network to interrupt availability to system and network resources. With direct write access to a disk, adversaries may attempt to overwrite portions of disk data.",IMPACT,
Adversaries may perform Endpoint Denial of Service (DoS) attacks to degrade or block the availability of services to users.,IMPACT,
"Adversaries may overwrite or corrupt the flash memory contents of system BIOS or other firmware in devices attached to a system in order to render them inoperable or unable to boot, thus denying the availability to use the devices and/or the system.",IMPACT,
Adversaries may delete or remove built-in operating system data and turn off services designed to aid in the recovery of a corrupted system to prevent recovery.This may deny access to available backups and recovery options.,IMPACT,
Adversaries may perform Network Denial of Service (DoS) attacks to degrade or block the availability of targeted resources to users.,IMPACT,
Adversaries may leverage the resources of co-opted systems in order to solve resource intensive problems,IMPACT,
Adversaries may stop or disable services on a system to render those services unavailable to legitimate users. Stopping critical services or processes can inhibit or stop response to an incident or aid in the adversary's overall objectives to cause damage to the environment.,IMPACT,
"Adversaries may shutdown/reboot systems to interrupt access to, or aid in the destruction of, those systems.",IMPACT,
The adversary is trying to establish resources they can use to support operations.,RESOURCE_DEVELOPMENT,
"Infrastructure solutions include physical or cloud servers, domains, and third-party web services.",RESOURCE_DEVELOPMENT,
"Adversaries create, purchase, or compromise/steal resources that can be used to support targeting.",RESOURCE_DEVELOPMENT,
Adversaries may set up their own Domain Name System (DNS) servers that can be used during targeting.,RESOURCE_DEVELOPMENT,
Adversaries may rent Virtual Private Servers (VPSs) that can be used during targeting.,RESOURCE_DEVELOPMENT,
There exist a variety of cloud service providers that will sell virtual machines/containers as a service.,RESOURCE_DEVELOPMENT,
Adversaries may purchase a subscription to use an existing botnet from a booter/stresser service.,RESOURCE_DEVELOPMENT,
Adversaries may register for web services that can be used during targeting.,RESOURCE_DEVELOPMENT,
"Utilizing an existing persona may engender a level of trust in a potential victim if they have a relationship, or knowledge of, the compromised persona.",RESOURCE_DEVELOPMENT,
Adversaries may hijack domains and/or subdomains that can be used during targeting.,RESOURCE_DEVELOPMENT,
Adversaries may gain access to an email account for the person listed as the owner of the domain.,RESOURCE_DEVELOPMENT,
"Adversaries may also conduct a takeover of an existing botnet, such as redirecting bots to adversary-controlled C2 servers.",RESOURCE_DEVELOPMENT,
Adversaries may build capabilities that can be used during targeting.,RESOURCE_DEVELOPMENT,
Adversaries may try to take ownership of a legitimate user's access to a web service and use that web service as infrastructure in support of cyber operations.,RESOURCE_DEVELOPMENT,
adversaries may develop their own capabilities in-house,RESOURCE_DEVELOPMENT,
"Adversaries may develop malware to support their operations, creating a means for maintaining control of remote machines,",RESOURCE_DEVELOPMENT,
Adversaries may create self-signed code signing certificates that can be used during targeting.,RESOURCE_DEVELOPMENT,
"Use of servers allows an adversary to stage, launch, and execute an operation.",RESOURCE_DEVELOPMENT,
"A wide variety of infrastructure exists for hosting and orchestrating adversary operations. Adversaries may buy, lease, or rent infrastructure that can be used during targeting.",RESOURCE_DEVELOPMENT,
"Adversaries may compromise accounts with services that can be used during targeting. A variety of methods exist for compromising accounts, such as gathering credentials via Phishing for Information, purchasing credentials from third-party sites, or by brute forcing credentials",RESOURCE_DEVELOPMENT,
"Use of compromised infrastructure allows an adversary to stage, launch, and execute an operation. Compromised infrastructure can help adversary operations blend in with traffic that is seen as normal, such as contact with high reputation or trusted sites.",RESOURCE_DEVELOPMENT,
"Adversaries may develop their own capabilities in-house. This is the process of identifying development requirements and building solutions such as malware, exploits, and self-signed certificates.",RESOURCE_DEVELOPMENT,
Adversaries may create and cultivate accounts with services that can be used during targeting. Adversaries can create accounts that can be used to build a persona to further operations.,RESOURCE_DEVELOPMENT,
"Adversaries may buy and/or steal capabilities that can be used during targeting. Rather than developing their own capabilities in-house, adversaries may purchase, freely download, or steal them.",RESOURCE_DEVELOPMENT,
"Adversaries may acquire malware to support their operations, obtaining a means for maintaining control of remote machines, evading defenses, and executing post-compromise behaviors.",RESOURCE_DEVELOPMENT,
"Adversaries may purchase or steal SSL/TLS certificates to further their operations, such as encrypting C2 traffic (ex: Asymmetric Cryptography with Web Protocols) or even enabling Adversary-in-the-Middle if the certificate is trusted or otherwise added to the root of trust.",RESOURCE_DEVELOPMENT,
Adversaries may develop capabilities to support their operations throughout numerous phases of the adversary lifecycle.,RESOURCE_DEVELOPMENT,
"Adversaries may upload, install, or otherwise set up capabilities that can be used during targeting. To support their operations, an adversary may need to take capabilities they developed or obtained and stage them on infrastructure under their control.",RESOURCE_DEVELOPMENT,
Adversaries may leverage external-facing remote services to initially access and/or persist within a network.,INITIAL_ACCESS,PERSISTENCE
"Remote services such as VPNs, Citrix, and other access mechanisms allow users to connect to internal enterprise network resources from external locations.",INITIAL_ACCESS,
Adversaries use various entry vectors to gain their initial foothold within a network. Techniques used to gain a foothold include targeted spearphishing and exploiting weaknesses on public-facing web servers.,INITIAL_ACCESS,PERSISTENCE
Access to remote services may be used as a redundant or persistent access mechanism during an operation.,INITIAL_ACCESS,PERSISTENCE
"Access may also be gained through an exposed service that doesnâ€™t require authentication. In containerized environments,",INITIAL_ACCESS,PERSISTENCE
"APT29 has used compromised identities to access networks via SSH, VPNs, and other remote access tools.",INITIAL_ACCESS,PERSISTENCE
"Chimera has used legitimate credentials to login to an external VPN, Citrix, SSH, and other remote services.",INITIAL_ACCESS,PERSISTENCE
Doki was executed through an open Docker daemon API port.,INITIAL_ACCESS,PERSISTENCE
"FIN5 has used legitimate VPN, Citrix, or VNC credentials to maintain access to a victim environment.",INITIAL_ACCESS,PERSISTENCE
Dragonfly has used VPNs and Outlook Web Access (OWA) to maintain access to victim networks.,INITIAL_ACCESS,PERSISTENCE
Kinsing was executed in an Ubuntu container deployed via an open Docker daemon API.,INITIAL_ACCESS,PERSISTENCE
Sandworm Team has also used VPN tunnels established in legitimate software company infrastructure to gain access to internal networks of that software company's users.,INITIAL_ACCESS,PERSISTENCE
Threat Group-3390 has also obtained OWA account credentials during intrusions that it subsequently used to attempt to regain access when evicted from a victim network.,INITIAL_ACCESS,PERSISTENCE
Wizard Spider has accessed victim networks by using stolen credentials to access the corporate VPN infrastructure.,INITIAL_ACCESS,PERSISTENCE
Modification of executable files stored on removable media or by copying malware and renaming it to look like a legitimate file to trick users into executing it on a separate system,INITIAL_ACCESS,LATERAL_MOVEMENT
"Manual manipulation of the media, modification of systems used to initially format the media, or modification to the media's firmware itself.",INITIAL_ACCESS,LATERAL_MOVEMENT
Crimson can spread across systems by infecting removable media.,INITIAL_ACCESS,LATERAL_MOVEMENT
Mustang Panda has used a customized PlugX variant which could spread through USB connections.,INITIAL_ACCESS,LATERAL_MOVEMENT
QakBot has the ability to use removable drives to spread through compromised networks.,INITIAL_ACCESS,LATERAL_MOVEMENT
USBferry can copy its installer to attached USB storage devices.,INITIAL_ACCESS,LATERAL_MOVEMENT
Ursnif has copied itself to and infected removable drives for propagation,INITIAL_ACCESS,LATERAL_MOVEMENT
"Compromised credentials may be used to bypass access controls placed on various resources on systems within the network and may even be used for persistent access to remote systems and externally available services, such as VPNs, Outlook Web Access and remote desktop.",INITIAL_ACCESS,"PRIVILEGE_ESCALATION, DEFENSE_EVASION, PERSISTENCE"
Compromised credentials may also grant an adversary increased privilege to specific systems or access to restricted areas of the network.,INITIAL_ACCESS,"PRIVILEGE_ESCALATION, DEFENSE_EVASION, PERSISTENCE"
Adversaries may choose not to use malware or tools in conjunction with the legitimate access those credentials provide to make it harder to detect their presence.,INITIAL_ACCESS,"PRIVILEGE_ESCALATION, DEFENSE_EVASION, PERSISTENCE"
"Adversaries may abuse inactive accounts: for example, those belonging to individuals who are no longer part of an organization.",INITIAL_ACCESS,"PRIVILEGE_ESCALATION, DEFENSE_EVASION, PERSISTENCE"
"Accounts may allow the adversary to evade detection, as the original account user will not be present to identify any anomalous activity taking place on their account.",INITIAL_ACCESS,"PRIVILEGE_ESCALATION, DEFENSE_EVASION, PERSISTENCE"
"Adversary may be able to pivot across accounts and systems to reach a high level of access (i.e., domain or enterprise administrator) to bypass access controls set within the enterprise",INITIAL_ACCESS,"PRIVILEGE_ESCALATION, DEFENSE_EVASION, PERSISTENCE"
"APT28 has used legitimate credentials to gain initial access, maintain access, and exfiltrate data from a victim network.",INITIAL_ACCESS,"PRIVILEGE_ESCALATION, DEFENSE_EVASION, PERSISTENCE"
APT29 used different compromised credentials for remote access and to move laterally.,INITIAL_ACCESS,"PRIVILEGE_ESCALATION, DEFENSE_EVASION, PERSISTENCE"
APT33 has used valid accounts for initial access and privilege escalation,INITIAL_ACCESS,"PRIVILEGE_ESCALATION, DEFENSE_EVASION, PERSISTENCE"
Dragonfly has compromised user credentials and used valid accounts for operations.,INITIAL_ACCESS,"PRIVILEGE_ESCALATION, DEFENSE_EVASION, PERSISTENCE"
Adversaries may gain access to a system through a user visiting a website over the normal course of browsing.,INITIAL_ACCESS,
"Adversaries may also use compromised websites to deliver a user to a malicious application designed to Steal Application Access Tokens, like OAuth tokens, to gain access to protected applications and information. These malicious applications have been delivered through popups on legitimate websites.",INITIAL_ACCESS,
"Adversaries may attempt to take advantage of a weakness in an Internet-facing computer or program using software, data, or commands in order to cause unintended or unanticipated behavior. The weakness in the system can be a bug, a glitch, or a design vulnerability.",INITIAL_ACCESS,
"Adversaries may leverage external-facing remote services to initially access and/or persist within a network. Remote services such as VPNs, Citrix, and other access mechanisms allow users to connect to internal enterprise network resources from external locations.",INITIAL_ACCESS,PERSISTENCE
"Adversaries may introduce computer accessories, networking hardware, or other computing devices into a system or network that can be used as a vector to gain access.",INITIAL_ACCESS,
"Adversaries may send phishing messages to gain access to victim systems. They may send victims emails containing malicious attachments or links, typically to execute malicious code on victim systems.",INITIAL_ACCESS,
"Adversaries may move onto systems, possibly those on disconnected or air-gapped networks, by copying malware to removable media and taking advantage of Autorun features when the media is inserted into a system and executes.",INITIAL_ACCESS,LATERAL_MOVEMENT
Adversaries may manipulate products or product delivery mechanisms prior to receipt by a final consumer for the purpose of data or system compromise.,INITIAL_ACCESS,
Adversaries may obtain and abuse credentials of existing accounts. Compromised credentials may be used to bypass access controls placed on various resources on systems within the network.,INITIAL_ACCESS,"PRIVILEGE_ESCALATION, DEFENSE_EVASION, PERSISTENCE"
Aversaries use techniques that result in adversary-controlled code running on a local or remote system.,EXECUTION,
"Adversaries may deploy a new container to execute processes associated with a particular image or deployment, such as processes that execute or download malware.",EXECUTION,DEFENSE_EVASION
Adversaries may deploy a container into an environment to facilitate execution or evade defenses.آ ,EXECUTION,DEFENSE_EVASION
"An adversary may deploy a new container configured without network rules, user limitations, etc. to bypass existing defenses within the environment.",EXECUTION,DEFENSE_EVASION
Adversaries may deploy containers based on retrieved or built malicious images or from benign images that download and execute malicious payloads at runtime.,EXECUTION,DEFENSE_EVASION
Kinsing was run through a deployed Ubuntu container,EXECUTION,DEFENSE_EVASION
"Peirates can deploy a pod that mounts its nodeâ€™s root file system, then execute a command to create a reverse shell on the node.",EXECUTION,DEFENSE_EVASION
Doki was run through a deployed container.,EXECUTION,DEFENSE_EVASION
TeamTNTآ has deployed different types of containers into victim environments to facilitate execution,EXECUTION,DEFENSE_EVASION
"A task can also be scheduled on a remote system, provided the proper authentication is met",EXECUTION,"PRIVILEGE_ESCALATION, PERSISTENCE"
Adversaries may use task scheduling to execute programs at system startup or on a scheduled basis for persistence.,EXECUTION,"PRIVILEGE_ESCALATION, PERSISTENCE"
These mechanisms can also be abused to run a process under the context of a specified account,EXECUTION,"PRIVILEGE_ESCALATION, PERSISTENCE"
adversaries have also abused task scheduling to potentially mask one-time execution under a trusted system process.,EXECUTION,"PRIVILEGE_ESCALATION, PERSISTENCE"
"Lokibot's second stage DLL has set a timer using ""timeSetEvent"" to schedule its next execution.",EXECUTION,"PRIVILEGE_ESCALATION, PERSISTENCE"
Remsec schedules the execution one of its modules by creating a new scheduler task,EXECUTION,"PRIVILEGE_ESCALATION, PERSISTENCE"
"Adversaries may abuse a container administration service to execute commands within a container. A container administration service such as the Docker daemon, the Kubernetes API server, or the kubelet may allow remote management of containers within an environment.",EXECUTION,DEFENSE_EVASION
"Adversaries may gain access to and use third-party software suites installed within an enterprise network, such as administration, monitoring, and deployment systems, to move laterally through the network",EXECUTION,LATERAL_MOVEMENT
"Third-party applications and software deployment systems may be in use in the network environment for administration purposes (e.g., SCCM, HBSS, Altiris, etc.).",EXECUTION,LATERAL_MOVEMENT
Enable an adversary to have remote code execution on all systems that are connected to such a system.,EXECUTION,LATERAL_MOVEMENT
"The access may be used to laterally move to other systems, gather information, or cause a specific effect, such as wiping the hard drives on all endpoints.",EXECUTION,LATERAL_MOVEMENT
APT32 compromised McAfee ePO to move laterally by distributing malware as a software deployment task,EXECUTION,LATERAL_MOVEMENT
"Silence has used RAdmin, a remote software tool used to remotely control workstations and ATMs",EXECUTION,LATERAL_MOVEMENT
It is believed that a patch management system for an anti-virus product commonly installed among targeted companies was used to distribute the Wiper malware.[,EXECUTION,LATERAL_MOVEMENT
Adversaries may exploit software vulnerabilities in client applications to execute code.,EXECUTION,
Vulnerabilities can exist in software due to unsecure coding practices that can lead to unanticipated behavior. Adversaries can take advantage of certain vulnerabilities through targeted exploitation for the purpose of arbitrary code execution.,EXECUTION,
Adversaries may abuse inter-process communication (IPC) mechanisms for local code or command execution.,EXECUTION,
Adversaries may interact with the native OS application programming interface (API) to execute behaviors.,EXECUTION,
Adversaries may abuse task scheduling functionality to facilitate initial or recurring EXECUTION of malicious code.,EXECUTION,"PRIVILEGE_ESCALATION, PERSISTENCE"
Adversaries may execute malicious payloads via loading shared modules.,EXECUTION,
Adversaries may abuse system services or daemons to execute commands or programs.,EXECUTION,
Adversaries can execute malicious content by interacting with or creating services either locally or remotely.,EXECUTION,
"Adversaries may also deceive users into performing actions such as enabling Remote Access Software, allowing direct control of the system to the adversary, or downloading and executing malware for User execution.",EXECUTION,
Adversaries may abuse Windows Management Instrumentation (WMI) to execute malicious commands and payloads.,EXECUTION,
"An adversary can use Windows Management Instrumentation (WMI) to interact with local and remote systems and use it as a means to execute various behaviors, such as gathering information for discovery as well as remote execution of files as part of lateral movement.",EXECUTION,
"Adversaries may abuse command and script interpreters to execute commands, scripts, or binaries. These interfaces and languages provide ways of interacting with computer systems and are a common feature across many different platforms.",EXECUTION,
"Adversaries can use PowerShell to perform a number of actions, including discovery of information and execution of code.",EXECUTION,
"Adversary may deploy a new container configured without network rules, user limitations, etc. to bypass existing defenses within the environment.",EXECUTION,
Adversaries can take advantage of certain vulnerabilities through targeted exploitation.,EXECUTION,
"Adversaries may use several types of files that require a user to execute them, including .doc, .pdf, .xls, .rtf, .scr, .exe, .lnk, .pif, and .cpl.",EXECUTION,
Adversaries may abuse BITS jobs to persistently execute or clean up after malicious payloads.,PERSISTENCE,DEFENSE_EVASION
"Adversaries may abuse BITS to download, execute, and even clean up after running malicious code.",PERSISTENCE,DEFENSE_EVASION
BITS enabled execution may also enable persistence by creating long-standing jobs (the default maximum lifetime is 90 days and extendable) or invoking an arbitrary program when a job completes or errors (including after system reboots),PERSISTENCE,DEFENSE_EVASION
APT39 has used the BITS protocol to exfiltrate stolen data from a compromised host,PERSISTENCE,DEFENSE_EVASION
Bazar has been downloaded via Windows BITS functionality.,PERSISTENCE,DEFENSE_EVASION
"Cobalt Strike can download a hosted ""beacon"" payload using BITSAdmin",PERSISTENCE,DEFENSE_EVASION
Patchwork has used BITS jobs to download malicious payloads.,PERSISTENCE,DEFENSE_EVASION
MarkiRAT can use BITS Utility to connect with the C2 server.,PERSISTENCE,DEFENSE_EVASION
UBoatRAT takes advantage of the /SetNotifyCmdLine option in BITSAdmin to ensure it stays running on a system to maintain persistence.,PERSISTENCE,DEFENSE_EVASION
"Adversaries use it to keep access to systems across restarts, changed credentials, and other interruptions that could cut off their access.",PERSISTENCE,
"Techniques used include any access, action, or configuration changes that let adversaries maintain their foothold on systems, such as replacing or hijacking legitimate code or adding startup code.",PERSISTENCE,
"Adversaries may manipulate accounts to maintain access to victim systems. Account manipulation may consist of any action that preserves adversary access to a compromised account, such as modifying credentials or permission groups.",PERSISTENCE,
Adversaries may configure system settings to automatically execute a program during system boot or logon to maintain persistence or gain higher-level privileges on compromised systems.,PERSISTENCE,PRIVILEGE_ESCALATION
An adversary may achieve the same goal by modifying or extending features of the kernel.,PERSISTENCE,PRIVILEGE_ESCALATION
"Since some boot or logon autostart programs run with higher privileges, an adversary may leverage these to elevate privileges.",PERSISTENCE,PRIVILEGE_ESCALATION
Dtrackâ€™s RAT makes a persistent target file with auto execution on the host start.,PERSISTENCE,PRIVILEGE_ESCALATION
xCaon has added persistence via the Registry key which causes the malware to run each time any user logs in.,PERSISTENCE,PRIVILEGE_ESCALATION
BoxCaon established persistence by setting the registry key to point to its executable,PERSISTENCE,PRIVILEGE_ESCALATION
Adversaries may use these scripts to maintain persistence on a single system.,PERSISTENCE,PRIVILEGE_ESCALATION
An adversary may also be able to escalate their privileges since some boot or logon initialization scripts run with higher privileges.,PERSISTENCE,PRIVILEGE_ESCALATION
"Rocke has installed an ""init.d"" startup script to maintain persistence.",PERSISTENCE,PRIVILEGE_ESCALATION
"Adversaries may install new services, daemons, or agents that can be configured to execute at startup or a repeatable interval in order to establish persistence.",PERSISTENCE,PRIVILEGE_ESCALATION
"Adversaries may modify existing services, daemons, or agents to achieve the same effect.",PERSISTENCE,PRIVILEGE_ESCALATION
Adversaries may leverage this functionality to create or modify system processes in order to escalate privileges.,PERSISTENCE,PRIVILEGE_ESCALATION
Exaramel for Linux has a hardcoded location that it uses to achieve persistence if the startup system is Upstart or System V and it is running as root,PERSISTENCE,PRIVILEGE_ESCALATION
Adversaries may create or modify system-level processes to repeatedly execute malicious payloads as part of persistence.,PERSISTENCE,
"Adversaries may use scripts automatically executed at boot or logon initialization to establish persistence. Initialization scripts can be used to perform administrative functions, which may often execute other programs or send information to an internal logging server.",PERSISTENCE,PRIVILEGE_ESCALATION
Adversaries may leverage external-facing remote services to initially access and/or persist within a network.,PERSISTENCE,INITIAL_ACCESS
"Access toآ Valid Accountsآ to use the service is often a requirement, which could be obtained through credential pharming or by obtaining the credentials from users after compromising the enterprise network",PERSISTENCE,INITIAL_ACCESS
Access to remote services may be used as a redundant or persistent access mechanism during an operation.,PERSISTENCE,INITIAL_ACCESS
Access may also be gained through an exposed service that doesnâ€™t require authentication.,PERSISTENCE,INITIAL_ACCESS
APT18 actors leverage legitimate credentials to log into external remote services.,PERSISTENCE,INITIAL_ACCESS
Hildegard was executed through an unsecure kubelet that allowed anonymous access to the victim environment.,PERSISTENCE,INITIAL_ACCESS
Adversaries may abuse Internet browser extensions to establish persistent access to victim systems.,PERSISTENCE,
"Malicious extensions can be installed into a browser through malicious app store downloads masquerading as legitimate extensions, through social engineering, or by an adversary that has already compromised a system.",PERSISTENCE,
Adversaries may make modifications to client software binaries to carry out malicious tasks when those applications are in use.,PERSISTENCE,
"An adversary may copy source code for the client software, add a backdoor, compile for the target, and replace the legitimate application binary (or support files) with the backdoored one. Since these applications may be routinely executed by the user, the adversary can leverage this for persistent access to the host.",PERSISTENCE,
"Adversaries may create an account to maintain access to victim systems. With a sufficient level of access, creating such accounts may be used to establish secondary credentialed access that do not require persistent remote access tools to be deployed on the system.",PERSISTENCE,
"Adversaries may install new services, daemons, or agents that can be configured to execute at startup or a repeatable interval.",PERSISTENCE,
"Adversaries may abuse mechanisms as a means of maintaining persistent access to a victim via repeatedly executing malicious code. After gaining access to a victim system, adversaries may create/modify event triggers to point to malicious content that will be executed whenever the event trigger is invoked.",PERSISTENCE,
"An adversary that have access to a compromised AWS instance, and permissions to list the available container images, can implant a backdoor such as a Web Shell.",PERSISTENCE,
"Compromised credentials or access may be used for persistent access to remote systems and externally available services, such as VPNs, Outlook Web Access and remote desktop.",PERSISTENCE,
Adversaries may leverage Microsoft Office-based applications for persistence between startups.,PERSISTENCE,
Adversaries may overwrite data in boot drivers or firmware such as BIOS (Basic Input/Output System) and The Unified Extensible Firmware Interface (UEFI) to persist on systems at a layer below the operating system.,PERSISTENCE,
Enterprise server applications may include features that allow developers to write and install software or scripts to extend the functionality of the main application. Adversaries may install malicious components to extend and abuse server applications.,PERSISTENCE,
"Adversaries may use crafted packets to attempt to connect to one or more (open or closed) ports, but may also attempt to connect to a router interface, broadcast, and network address IP on the same port in order to achieve their goal.",PERSISTENCE,
Adversaries may craft malicious stored procedures that can provide a persistence mechanism in SQL database servers.,PERSISTENCE,
"Adversaries may install malicious ISAPI extensions and filters to observe and/or modify traffic, execute commands on compromised machines, or proxy command and control traffic.",PERSISTENCE,
"Adversaries may install new services, daemons, or agents that can be configured to execute at startup or a repeatable interval.",PERSISTENCE,PRIVILEGE_ESCALATION
Adversaries may modify authentication mechanisms and processes to access user credentials or enable otherwise unwarranted access to accounts.,PERSISTENCE,"CREDENTIAL_ACCESS, DEFENSE_EVASION"
Adversaries may abuse these mechanisms as a means of maintaining persistent access to a victim via repeatedly executing malicious code.,PERSISTENCE,
Adversaries may obtain and abuse credentials of a cloud account.,PRIVILEGE_ESCALATION,"DEFENSE_EVASION, PERSISTENCE"
Peirates can use stolen service account tokens to perform its operations.,PRIVILEGE_ESCALATION,"DEFENSE_EVASION, PERSISTENCE"
Adversaries may abuse the at utility to perform task scheduling for initial or recurring execution of malicious code.,PRIVILEGE_ESCALATION,"EXECUTION, PERSISTENCE"
Adversaries may abuse list-view controls to inject malicious code into hijacked processes in order to evade process-based defenses as well as possibly elevate privileges.,PRIVILEGE_ESCALATION,DEFENSE_EVASION
Adversaries may inject code into processes in order to evade process-based defenses as well as possibly elevate privileges.,PRIVILEGE_ESCALATION,DEFENSE_EVASION
Adversaries may execute their own malicious payloads by hijacking the binaries used by an installer.,PRIVILEGE_ESCALATION,"DEFENSE_EVASION, PERSISTENCE"
Adversaries may exploit software vulnerabilities in an attempt to elevate privileges.,PRIVILEGE_ESCALATION,
Adversaries may gain persistence and elevate privileges by executing malicious content triggered by PowerShell profiles.,PRIVILEGE_ESCALATION,PERSISTENCE
Adversaries may establish persistence by executing malicious content triggered by the execution of tainted binaries.,PRIVILEGE_ESCALATION,PERSISTENCE
Adversaries may break out of a container to gain access to the underlying host.,PRIVILEGE_ESCALATION,
Adversaries may add new domain trusts or modify the properties of existing domain trusts to evade defenses and/or elevate privileges.,PRIVILEGE_ESCALATION,DEFENSE_EVASION
Adversaries may create or modify system-level processes to repeatedly execute malicious payloads as part of persistence.,PRIVILEGE_ESCALATION,PERSISTENCE
Adversaries may establish persistence by modifying RC scripts which are executed during a Unix-like systemâ€™s startup.,PRIVILEGE_ESCALATION,PERSISTENCE
Adversaries may achieve persistence by adding a Registry key to the Active Setup of the local machine.,PRIVILEGE_ESCALATION,PERSISTENCE
adversaries may force a device to communicate through an adversary controlled system so they can collect information or perform additional actions.,CREDENTIAL_ACCESS,COLLECTION
adversaries may manipulate victim DNS settings to enable other malicious activities such as preventing/redirecting users from accessing legitimate sites and/or pushing additional malware,CREDENTIAL_ACCESS,COLLECTION
"Adversaries may also leverage the AiTM position to attempt to monitor and/or modify traffic, such as inآ Transmitted Data Manipulation.آ ",CREDENTIAL_ACCESS,COLLECTION
"Adversaries can setup a position similar to AiTM to prevent traffic from flowing to the appropriate destination, potentially toآ Impair Defensesآ and/or in support of aآ Network Denial of Service.",CREDENTIAL_ACCESS,COLLECTION
Kimsuky has used modified versions of PHProxy to examine web traffic between the victim and the accessed website.,CREDENTIAL_ACCESS,COLLECTION
adversaries may spoof an authoritative source for name resolution to force communication with an adversary controlled system.,CREDENTIAL_ACCESS,COLLECTION
"Adversaries can spoof an authoritative source for name resolution on a victim network by responding to LLMNR (UDP 5355)/NBT-NS (UDP 137) traffic as if they know the identity of the requested host, effectively poisoning the service so that the victims will communicate with the adversary controlled system.آ ",CREDENTIAL_ACCESS,COLLECTION
The adversary can then collect the hash information sent over the wire through tools that monitor the ports for traffic or throughآ Network Sniffingآ and crack the hashes offline throughآ Brute Forceآ to obtain the plaintext passwords,CREDENTIAL_ACCESS,COLLECTION
"adversary has access to a system that is in the authentication path between systems or when automated scans that use credentials attempt to authenticate to an adversary controlled system,",CREDENTIAL_ACCESS,COLLECTION
Adversaries may redirect network traffic to adversary-owned systems by spoofing Dynamic Host Configuration Protocol (DHCP) traffic and acting as a malicious DHCP server on the victim network.,CREDENTIAL_ACCESS,COLLECTION
Adversaries may modify authentication mechanisms and processes to access user credentials or enable otherwise unwarranted access to accounts.,CREDENTIAL_ACCESS,"DEFENSE_EVASION, PERSISTENCE"
Adversaries may maliciously modify a part of this process to either reveal credentials or bypass authentication mechanisms.,CREDENTIAL_ACCESS,"DEFENSE_EVASION, PERSISTENCE"
SILENTTRINITYآ can create a backdoor in KeePass using a malicious config file and in TortoiseSVN using a registry hook.,CREDENTIAL_ACCESS,"DEFENSE_EVASION, PERSISTENCE"
Adversaries may patch the authentication process on a domain controller to bypass the typical authentication mechanisms and enable access to accounts.,CREDENTIAL_ACCESS,"DEFENSE_EVASION, PERSISTENCE"
an adversary can use the injected password to successfully authenticate as any domain user account,CREDENTIAL_ACCESS,"DEFENSE_EVASION, PERSISTENCE"
Chimera's malware has altered the NTLM authentication program on domain controllers to allowآ Chimeraآ to login without a valid credential.,CREDENTIAL_ACCESS,"DEFENSE_EVASION, PERSISTENCE"
Adversaries may register malicious password filter dynamic link libraries (DLLs) into the authentication process to acquire user credentials as they are validated.,CREDENTIAL_ACCESS,"DEFENSE_EVASION, PERSISTENCE"
Adversaries can register malicious password filters to harvest credentials from local computers and/or entire domains.آ ,CREDENTIAL_ACCESS,"DEFENSE_EVASION, PERSISTENCE"
Adversaries may modify pluggable authentication modules (PAM) to access user credentials or enable otherwise unwarranted access to accounts.,CREDENTIAL_ACCESS,"DEFENSE_EVASION, PERSISTENCE"
Adversaries may modify components of the PAM system to create backdoors.,CREDENTIAL_ACCESS,"DEFENSE_EVASION, PERSISTENCE"
Ebury can deactivate PAM modules to tamper with the sshd configuration.,CREDENTIAL_ACCESS,"DEFENSE_EVASION, PERSISTENCE"
"Adversaries may use Patch System Image to hard code a password in the operating system, thus bypassing of native authentication mechanisms for local accounts on network devices.",CREDENTIAL_ACCESS,"DEFENSE_EVASION, PERSISTENCE"
