ID,name,description,url,created,last modified,version,contributors,tactics,detection,platforms,tactic type,MTC ID,relationship citations
T1533,Data from Local System,"Adversaries may search local system sources, such as file systems or local databases, to find files of interest and sensitive data prior to exfiltration.  

 

Access to local system data, which includes information stored by the operating system, often requires escalated privileges. Examples of local system data include authentication tokens, the device keyboard cache, Wi-Fi passwords, and photos. On Android, adversaries may also attempt to access files from external storage which may require additional storage-related permissions. 

 ",https://attack.mitre.org/techniques/T1533,10 October 2019,01 April 2022,1.1,,Collection,"Accessing data from the local system can be difficult to detect, and therefore enterprises may be better served focusing on detection at other stages of adversarial behavior.","Android, iOS",Post-Adversary Device Access,STA-41,"(Citation: ThreatFabric Ginp),(Citation: Talos-WolfRAT),(Citation: FlexiSpy-Features),(Citation: CYBERWARCON CHEMISTGAMES),(Citation: Talos GPlayed),(Citation: Talos Gustuff Apr 2019),(Citation: Cofense Anubis),(Citation: TrendMicro-RCSAndroid),(Citation: SecureList BusyGasper),(Citation: Lookout ViperRAT),(Citation: Zscaler-SpyNote),(Citation: Zscaler TikTok Spyware),(Citation: SecureList - ViceLeaker 2019),(Citation: Lookout Uyghur Campaign),(Citation: Google Project Zero Insomnia),(Citation: Lookout-Monokle),(Citation: Lookout-Dendroid),(Citation: Lookout eSurv),(Citation: Trend Micro Anubis),(Citation: TrendMicro Coronavirus Updates),(Citation: SWB Exodus March 2019),(Citation: Gooligan Citation),(Citation: Lookout Desert Scorpion),(Citation: SecurityIntelligence TrickMo),(Citation: Bitdefender - Triout 2018),(Citation: Lookout-StealthMango),(Citation: Lookout FrozenCell),(Citation: Symantec GoldenCup),(Citation: Palo Alto HenBox),(Citation: Cylance Dust Storm),(Citation: BlackBerry Bahamut),(Citation: Trend Micro Bouncing Golf 2019),"
T1481.001,Dead Drop Resolver,"Adversaries may use an existing, legitimate external Web service to host information that points to additional command and control (C2) infrastructure. Adversaries may post content, known as a dead drop resolver, on Web services with embedded (and often obfuscated/encoded) domains or IP addresses. Once infected, victims will reach out to and be redirected by these resolvers. 

 

Popular websites and social media, acting as a mechanism for C2, may give a significant amount of cover. This is due to the likelihood that hosts within a network are already communicating with them prior to a compromise. Using common services, such as those offered by Google or Twitter, makes it easier for adversaries to hide in expected noise. Web service providers commonly use SSL/TLS encryption, giving adversaries an added level of protection. 

 

Use of a dead drop resolver may also protect back-end C2 infrastructure from discovery through malware binary analysis, or enable operational resiliency (since this infrastructure may be dynamically changed). ",https://attack.mitre.org/techniques/T1481/001,06 April 2022,06 April 2022,1.0,,Command and Control,"Application vetting services may provide a list of connections made or received by an application, or a list of domains contacted by the application. ","Android, iOS",Post-Adversary Device Access,,"(Citation: Trend Micro Anubis),(Citation: TrendMicro-Anserver),(Citation: Cofense Anubis),(Citation: Sophos Red Alert 2.0),(Citation: TrendMicro-XLoader-FakeSpy),"
T1626.001,Device Administrator Permissions,"Adversaries may abuse Android’s device administration API to obtain a higher degree of control over the device. By abusing the API, adversaries can perform several nefarious actions, such as resetting the device’s password for [Endpoint Denial of Service](https://attack.mitre.org/techniques/T1642), factory resetting the device for [File Deletion](https://attack.mitre.org/techniques/T1630/002) and to delete any traces of the malware, disabling all the device’s cameras, or to make it more difficult to uninstall the app.

Device administrators must be approved by the user at runtime, with a system popup showing which actions have been requested by the app. In conjunction with other techniques, such as [Input Injection](https://attack.mitre.org/techniques/T1516), an app can programmatically grant itself administrator permissions without any user input.",https://attack.mitre.org/techniques/T1626/001,01 April 2022,06 April 2022,1.0,,Privilege Escalation,Users are prompted for approval when an application requests device administrator permissions. Users can see which applications are registered as device administrators in the device settings. Application vetting services can check for the string `BIND_DEVICE_ADMIN` in the application’s manifest. This indicates it can prompt the user for device administrator permissions.,Android,Post-Adversary Device Access,APP-22,"(Citation: Securelist Asacub),(Citation: Proofpoint-Marcher),(Citation: Talos GPlayed),(Citation: Threat Fabric Exobot),(Citation: Sophos Red Alert 2.0),(Citation: TrendMicro-XLoader),(Citation: GoogleIO2016)"
T1629.002,Device Lockout,"An adversary may seek to inhibit user interaction by locking the legitimate user out of the device. This is typically accomplished by requesting device administrator permissions and then locking the screen using `DevicePolicyManager.lockNow()`. Other novel techniques for locking the user out of the device have been observed, such as showing a persistent overlay, using carefully crafted “call” notification screens, and locking HTML pages in the foreground. These techniques can be very difficult to get around, and typically require booting the device into safe mode to uninstall the malware.(Citation: Microsoft MalLockerB)(Citation: Talos GPlayed)(Citation: securelist rotexy 2018)

Prior to Android 7, device administrators were able to reset the device lock passcode to prevent the user from unlocking the device. The release of Android 7 introduced updates that only allow device or profile owners (e.g. MDMs) to reset the device’s passcode.(Citation: Android resetPassword)",https://attack.mitre.org/techniques/T1629/002,01 April 2022,05 April 2022,1.0,,Defense Evasion,Users can view a list of device administrators in device settings and revoke permission where appropriate. Applications that request device administrator permissions should be scrutinized further for malicious behavior.,Android,Post-Adversary Device Access,APP-22,"(Citation: securelist rotexy 2018),(Citation: Microsoft MalLockerB),(Citation: SecurityIntelligence TrickMo),"
T1629.003,Disable or Modify Tools,"Adversaries may disable security tools to avoid potential detection of their tools and activities. This can take the form of disabling security software, modifying SELinux configuration, or other methods to interfere with security tools scanning or reporting information. This is typically done by abusing device administrator permissions or using system exploits to gain root access to the device to modify protected system files.",https://attack.mitre.org/techniques/T1629/003,01 April 2022,05 April 2022,1.0,,Defense Evasion,Users can view a list of active device administrators in the device settings.,Android,Post-Adversary Device Access,,"(Citation: Threat Fabric Cerberus),(Citation: SecureList DVMap June 2017),(Citation: Cofense Anubis),(Citation: Google Security Zen),(Citation: Bitdefender Mandrake),"
T1630.003,Disguise Root/Jailbreak Indicators,"An adversary could use knowledge of the techniques used by security software to evade detection.(Citation: Brodie)(Citation: Tan) For example, some mobile security products perform compromised device detection by searching for particular artifacts such as an installed ""su"" binary, but that check could be evaded by naming the binary something else. Similarly, polymorphic code techniques could be used to evade signature-based detection.(Citation: Rastogi)",https://attack.mitre.org/techniques/T1630/003,08 April 2022,11 April 2022,1.0,,Defense Evasion,Mobile security products can use attestation to detect compromised devices.,"Android, iOS",Post-Adversary Device Access,EMM-5,","
T1637.001,Domain Generation Algorithms,"Adversaries may use [Domain Generation Algorithms](https://attack.mitre.org/techniques/T1637/001) (DGAs) to procedurally generate domain names for uses such as command and control communication   or malicious application distribution.(Citation: securelist rotexy 2018)

DGAs increase the difficulty for defenders to block, track, or take over the command and control channel, as there could potentially be thousands of domains that malware can check for instructions.",https://attack.mitre.org/techniques/T1637/001,05 April 2022,05 April 2022,1.0,,Command and Control,"Detecting dynamically generated domains can be challenging due to the number of different DGA algorithms, constantly evolving malware families, and the increasing complexity of the algorithms. There are a myriad of approaches for detecting a pseudo-randomly generated domain name, including using frequency analysis, Markov chains, entropy, proportion of dictionary words, ratio of vowels to other characters, and more.(Citation: Data Driven Security DGA) CDN domains may trigger these detections due to the format of their domain names. In addition to detecting a DGA domain based on the name, a more general approach for detecting a suspicious domain is to check for recently registered names ","Android, iOS",Post-Adversary Device Access,,"(Citation: securelist rotexy 2018),(Citation: Bitdefender Mandrake),"
T1407,Download New Code at Runtime,"Adversaries may download and execute dynamic code not included in the original application package after installation. This technique is primarily used to evade static analysis checks and pre-publication scans in official app stores. In some cases, more advanced dynamic or behavioral analysis techniques could detect this behavior. However, in conjunction with [Execution Guardrails](https://attack.mitre.org/techniques/T1627) techniques, detecting malicious code downloaded after installation could be difficult.

On Android, dynamic code could include native code, Dalvik code, or JavaScript code that utilizes Android WebView’s `JavascriptInterface` capability. 

On iOS, dynamic code could be downloaded and executed through 3rd party libraries such as JSPatch. (Citation: FireEye-JSPatch) ",https://attack.mitre.org/techniques/T1407,25 October 2017,06 April 2022,1.3,,Defense Evasion,"Existing network infrastructure may detect network calls to known malicious domains or the transfer of malicious payloads over the network. Mobile security products may provide URL inspection services that could determine if a domain being visited is malicious. Application vetting services could look for indications that the application downloads and executes new code at runtime (e.g., on Android, use of `DexClassLoader`, `System.load`, or the WebView `JavaScriptInterface` capability; on iOS, use of JSPatch or similar capabilities). Unfortunately, this is only a partial mitigation, as additional scrutiny would still need to be applied to applications that use these techniques. These techniques are often used without malicious intent, and  applications may employ other techniques to hide their use of these techniques.","Android, iOS",Post-Adversary Device Access,APP-20,"(Citation: CheckPoint-Judy),(Citation: Threat Fabric Cerberus),(Citation: Talos-WolfRAT),(Citation: CYBERWARCON CHEMISTGAMES),(Citation: Talos GPlayed),(Citation: TrendMicro-RCSAndroid),(Citation: SecureList BusyGasper),(Citation: PaloAlto-SpyDealer),(Citation: Lookout ViperRAT),(Citation: Bitdefender Mandrake),(Citation: Lookout Uyghur Campaign),(Citation: WhiteOps TERRACOTTA),(Citation: Lookout-BrainTest),(Citation: Kaspersky-Skygofree),(Citation: Cybereason EventBot),(Citation: Lookout eSurv),(Citation: Trend Micro Anubis),(Citation: SWB Exodus March 2019),(Citation: Lookout Desert Scorpion),(Citation: Google Triada June 2019),(Citation: Xiao-ZergHelper),(Citation: Google Bread),(Citation: Lookout FrozenCell),(Citation: Symantec GoldenCup),(Citation: Palo Alto HenBox),(Citation: SecureList DVMap June 2017),(Citation: Sophos Red Alert 2.0),(Citation: Google Security Zen),(Citation: BlackBerry Bahamut),(Citation: Android 10 Execute)"
T1456,Drive-By Compromise,"Adversaries may gain access to a system through a user visiting a website over the normal course of browsing. With this technique, the user's web browser is typically targeted for exploitation, but adversaries may also use compromised websites for non-exploitation behavior such as acquiring an [Application Access Token](https://attack.mitre.org/techniques/T1550/001).

Multiple ways of delivering exploit code to a browser exist, including:

* A legitimate website is compromised where adversaries have injected some form of malicious code such as JavaScript, iFrames, and cross-site scripting.
* Malicious ads are paid for and served through legitimate ad providers.
* Built-in web application interfaces are leveraged for the insertion of any other kind of object that can be used to display web content or contain a script that executes on the visiting client (e.g. forum posts, comments, and other user controllable web content).

Often the website used by an adversary is one visited by a specific community, such as government, a particular industry, or region, where the goal is to compromise a specific user or set of users based on a shared interest. This kind of targeted attack is referred to a strategic web compromise or watering hole attack. There are several known examples of this occurring.(Citation: Lookout-StealthMango)

Typical drive-by compromise process:

1. A user visits a website that is used to host the adversary controlled content.
2. Scripts automatically execute, typically searching versions of the browser and plugins for a potentially vulnerable version. 
    * The user may be required to assist in this process by enabling scripting or active website components and ignoring warning dialog boxes.
3. Upon finding a vulnerable version, exploit code is delivered to the browser.
4. If exploitation is successful, then it will give the adversary code execution on the user's system unless other protections are in place.
    * In some cases a second visit to the website after the initial scan is required before exploit code is delivered.",https://attack.mitre.org/techniques/T1456,25 October 2017,19 April 2022,2.0,,Initial Access,Mobile security products can often alert the user if their device is vulnerable to known exploits.,"Android, iOS",Post-Adversary Device Access,CEL-22,"(Citation: Lookout-StealthMango),(Citation: Volexity Insomnia),(Citation: Lookout-Pegasus),"
T1637,Dynamic Resolution,"Adversaries may dynamically establish connections to command and control infrastructure to evade common detections and remediations. This may be achieved by using malware that shares a common algorithm with the infrastructure the adversary uses to receive the malware's communications. This algorithm can be used to dynamically adjust parameters such as the domain name, IP address, or port number the malware uses for command and control.",https://attack.mitre.org/techniques/T1637,05 April 2022,05 April 2022,1.0,,Command and Control,"Detecting dynamically generated domains can be challenging due to the number of different Domain Generation Algorithms (DGAs), constantly evolving malware families, and the increasing complexity of the algorithms. There are a myriad of approaches for detecting a pseudo-randomly generated domain name, including using frequency analysis, Markov chains, entropy, proportion of dictionary words, ratio of vowels to other characters, and more.(Citation: Data Driven Security DGA) Content delivery network (CDN) domains may trigger these detections due to the format of their domain names. In addition to detecting a DGA domain based on the name, a more general approach for detecting a suspicious domain is to check for recently registered names or rarely visited domains.","Android, iOS",Post-Adversary Device Access,,","
T1521,Encrypted Channel,"Adversaries may explicitly employ a known encryption algorithm to conceal command and control traffic rather than relying on any inherent protections provided by a communication protocol. Despite the use of a secure algorithm, these implementations may be vulnerable to reverse engineering if necessary secret keys are encoded and/or generated within malware samples/configuration files.",https://attack.mitre.org/techniques/T1521,01 October 2019,05 April 2022,2.0,,Command and Control,"Since data encryption is a common practice in many legitimate applications and uses standard programming language-specific APIs, encrypting data for command and control communication is regarded as undetectable to the user.","Android, iOS",Post-Adversary Device Access,,"(Citation: ESET-Twitoor),"
T1642,Endpoint Denial of Service,"Adversaries may perform Endpoint Denial of Service (DoS) attacks to degrade or block the availability of services to users.

On Android versions prior to 7, apps can abuse Device Administrator access to reset the device lock passcode, preventing the user from unlocking the device. After Android 7, only device or profile owners (e.g. MDMs) can reset the device’s passcode.(Citation: Android resetPassword)

On iOS devices, this technique does not work because mobile device management servers can only remove the screen lock passcode; they cannot set a new passcode. However, on jailbroken devices, malware has been discovered that can lock the user out of the device.(Citation: Xiao-KeyRaider)",https://attack.mitre.org/techniques/T1642,06 April 2022,19 April 2022,1.0,,Impact,"On Android, users can review which applications have Device Administrator access in the device settings and revoke permission where appropriate. Application vetting services can detect and closely scrutinize applications that utilize Device Administrator access.","Android, iOS",Post-Adversary Device Access,,"(Citation: PaloAlto-Xbot),(Citation: Threat Fabric Exobot),(Citation: CheckPoint-Charger),(Citation: Talos GPlayed),"
T1624,Event Triggered Execution,"Adversaries may establish persistence using system mechanisms that trigger execution based on specific events. Mobile operating systems have means to subscribe to events such as receiving an SMS message, device boot completion, or other device activities. 

Adversaries may abuse these mechanisms as a means of maintaining persistent access to a victim via automatically and repeatedly executing malicious code. After gaining access to a victim’s system, adversaries may create or modify event triggers to point to malicious content that will be executed whenever the event trigger is invoked. ",https://attack.mitre.org/techniques/T1624,30 March 2022,29 April 2022,1.0,,Persistence,Application vetting services can detect which broadcast intents an application registers for and which permissions it requests. ,Android,Post-Adversary Device Access,,",(Citation: Android Changes to System Broadcasts)"
T1627,Execution Guardrails,"Adversaries may use execution guardrails to constrain execution or actions based on adversary supplied and environment specific conditions that are expected to be present on the target. Guardrails ensure that a payload only executes against an intended target and reduces collateral damage from an adversary’s campaign. Values an adversary can provide about a target system or environment to use as guardrails may include environment information such as location.(Citation: SWB Exodus March 2019)

Guardrails can be used to prevent exposure of capabilities in environments that are not intended to be compromised or operated within. This use of guardrails is distinct from typical [System Checks](https://attack.mitre.org/techniques/T1633/001). While use of [System Checks](https://attack.mitre.org/techniques/T1633/001) may involve checking for known sandbox values and continuing with execution only if there is no match, the use of guardrails will involve checking for an expected target-specific value and only continuing with execution if there is such a match.",https://attack.mitre.org/techniques/T1627,30 March 2022,11 April 2022,1.0,,Defense Evasion,Detecting the use of guardrails may be difficult depending on the implementation. Users can review which applications have location and sensitive phone information permissions in the operating system’s settings menu. Application vetting services can detect unnecessary and potentially permissions or API calls.,"Android, iOS",Post-Adversary Device Access,,","
T1639,Exfiltration Over Alternative Protocol,"Adversaries may steal data by exfiltrating it over a different protocol than that of the existing command and control channel. The data may also be sent to an alternate network location from the main command and control server. 

Alternate protocols include FTP, SMTP, HTTP/S, DNS, SMB, or any other network protocol not being used as the main command and control channel. Different protocol channels could also include Web services such as cloud storage. Adversaries may opt to also encrypt and/or obfuscate these alternate channels. ",https://attack.mitre.org/techniques/T1639,06 April 2022,29 April 2022,1.0,,Exfiltration,"Exfiltration Over Alternative Protocols can be difficult to detect, and therefore enterprises may be better served focusing on detection at other stages of adversarial behavior.","Android, iOS",Post-Adversary Device Access,APP-30,","
T1646,Exfiltration Over C2 Channel,Adversaries may steal data by exfiltrating it over an existing command and control channel. Stolen data is encoded into the normal communications channel using the same protocol as command and control communications.,https://attack.mitre.org/techniques/T1646,01 April 2022,08 April 2022,1.0,,Exfiltration,"Exfiltration over C2 channel can be difficult to detect, and therefore enterprises may be better served focusing on detection at other stages of adversarial behavior.","Android, iOS",Post-Adversary Device Access,APP-29,"(Citation: SecureList - ViceLeaker 2019),(Citation: Lookout Uyghur Campaign),(Citation: Lookout eSurv),(Citation: TrendMicro-XLoader-FakeSpy),(Citation: Lookout Dark Caracal Jan 2018),(Citation: Bitdefender - Triout 2018),(Citation: Google Triada June 2019),(Citation: Cylance Dust Storm),(Citation: Wandera-RedDrop),(Citation: Trend Micro Bouncing Golf 2019),"
T1639.001,Exfiltration Over Unencrypted Non-C2 Protocol,"Adversaries may steal data by exfiltrating it over an un-encrypted network protocol other than that of the existing command and control channel. The data may also be sent to an alternate network location from the main command and control server.

Adversaries may opt to obfuscate this data, without the use of encryption, within network protocols that are natively unencrypted (such as HTTP, FTP, or DNS). Adversaries may employ custom or publicly available encoding/compression algorithms (such as base64) or embed data within protocol headers and fields.",https://attack.mitre.org/techniques/T1639/001,06 April 2022,06 April 2022,1.0,,Exfiltration,"Exfiltration Over Alternative Protocols can be difficult to detect, and therefore enterprises may be better served focusing on detection at other stages of adversarial behavior.","Android, iOS",Post-Adversary Device Access,APP-30,"(Citation: SecureList BusyGasper),(Citation: TrendMicro Coronavirus Updates),"
T1404,Exploitation for Privilege Escalation,"Adversaries may exploit software vulnerabilities in order to to elevate privileges. Exploitation of a software vulnerability occurs when an adversary takes advantage of a programming error in an application, service, within the operating system software, or kernel itself to execute adversary-controlled code. Security constructions, such as permission levels, will often hinder access to information and use of certain techniques. Adversaries will likely need to perform privilege escalation to include use of software exploitation to circumvent those restrictions. 

When initially gaining access to a device, an adversary may be operating within a lower privileged process which will prevent them from accessing certain resources on the system. Vulnerabilities may exist, usually in operating system components and applications running at higher permissions, that can be exploited to gain higher levels of access on the system. This could enable someone to move from unprivileged or user- level permission to root permissions depending on the component that is vulnerable. ",https://attack.mitre.org/techniques/T1404,25 October 2017,30 March 2022,2.0,,Privilege Escalation,Mobile security products can potentially utilize device APIs to determine if a device has been rooted or jailbroken.  Application vetting services could potentially determine if an application contains code designed to exploit vulnerabilities.,"Android, iOS",Post-Adversary Device Access,APP-26,"(Citation: Lookout Uyghur Campaign),(Citation: ArsTechnica-HummingBad),(Citation: Lookout-Adware),(Citation: Lookout-BrainTest),(Citation: SWB Exodus March 2019),(Citation: Kaspersky-Skygofree),(Citation: Gooligan Citation),(Citation: PaloAlto-SpyDealer),(Citation: SecureList DVMap June 2017),(Citation: Lookout Dark Caracal Jan 2018),(Citation: Volexity Insomnia),(Citation: Lookout-PegasusAndroid),(Citation: Google Security Zen),(Citation: CheckPoint Agent Smith),(Citation: Lookout-Pegasus),"
T1428,Exploitation of Remote Services,"Adversaries may exploit remote services of enterprise servers, workstations, or other resources to gain unauthorized access to internal systems once inside of a network. Adversaries may exploit remote services by taking advantage of a mobile device’s access to an internal enterprise network through local connectivity or through a Virtual Private Network (VPN). Exploitation of a software vulnerability occurs when an adversary takes advantage of a programming error in a program, service, or within the operating system software or kernel itself to execute adversary-controlled code. A common goal for post-compromise exploitation of remote services is for lateral movement to enable access to a remote system. 

An adversary may need to determine if the remote system is in a vulnerable state, which may be done through [Network Service Scanning](https://attack.mitre.org/techniques/T1423) or other Discovery methods. These look for common, vulnerable software that may be deployed in the network, the lack of certain patches that may indicate vulnerabilities, or security software that may be used to detect or contain remote exploitation. Servers are likely a high value target for lateral movement exploitation, but endpoint systems may also be at risk if they provide an advantage or access to additional resources.

Depending on the permissions level of the vulnerable remote service, an adversary may achieve [Exploitation for Privilege Escalation](https://attack.mitre.org/techniques/T1404) as a result of lateral movement exploitation as well. ",https://attack.mitre.org/techniques/T1428,25 October 2017,06 April 2022,1.1,,Lateral Movement,"Detecting software exploitation initiated by a mobile device may be difficult depending on the tools available. Software exploits may not always succeed or may cause the exploited process to become unstable or crash.

Network traffic analysis could reveal patterns of compromise if devices attempt to access unusual targets or resources. 

Application vetting may be able to identify applications that perform Discovery or utilize existing connectivity to remotely access hosts within an internal enterprise network. ","Android, iOS",Post-Adversary Device Access,APP-32,"(Citation: TrendMicro-DressCode),(Citation: Lookout-NotCompatible),"
T1630.002,File Deletion,"Adversaries may wipe a device or delete individual files in order to manipulate external outcomes or hide activity. An application must have administrator access to fully wipe the device, while individual files may not require special permissions to delete depending on their storage location.(Citation: Android DevicePolicyManager 2019) 

Stored data could include a variety of file formats, such as Office files, databases, stored emails, and custom file formats. The impact file deletion will have depends on the type of data as well as the goals and objectives of the adversary, but can include deleting update files to evade detection or deleting attacker-specified files for impact.",https://attack.mitre.org/techniques/T1630/002,30 March 2022,21 April 2022,1.0,,Defense Evasion,"Mobile security products can detect which applications can request device administrator permissions. Users can view applications with administrator access through the device settings, and may also notice if user data is inexplicably missing. Application vetting services could be extra scrutinous of applications that request device administrator permissions.",Android,Post-Adversary Device Access,,"(Citation: SecureList - ViceLeaker 2019),(Citation: Lookout Uyghur Campaign),(Citation: Talos-WolfRAT),(Citation: CyberMerchants-FlexiSpy),(Citation: Talos GPlayed),(Citation: Zscaler TikTok Spyware),(Citation: Lookout Dark Caracal Jan 2018),(Citation: Lookout Desert Scorpion),(Citation: Lookout-Monokle),(Citation: CheckPoint Agent Smith),(Citation: Bitdefender Mandrake),(Citation: Trend Micro Bouncing Golf 2019),"
T1420,File and Directory Discovery,"Adversaries may enumerate files and directories or search in specific device locations for desired information within a filesystem. Adversaries may use the information from [File and Directory Discovery](https://attack.mitre.org/techniques/T1420) during automated discovery to shape follow-on behaviors, including deciding if the adversary should fully infect the target and/or attempt specific actions. 

On Android, Linux file permissions and SELinux policies typically stringently restrict what can be accessed by apps without taking advantage of a privilege escalation exploit. The contents of the external storage directory are generally visible, which could present concerns if sensitive data is inappropriately stored there. iOS's security architecture generally restricts the ability to perform any type of [File and Directory Discovery](https://attack.mitre.org/techniques/T1420) without use of escalated privileges. ",https://attack.mitre.org/techniques/T1420,25 October 2017,19 April 2022,1.1,,Discovery,"On Android, users are presented with a permissions popup when an application requests access to external device storage.","Android, iOS",Post-Adversary Device Access,STA-41,"(Citation: Lookout Uyghur Campaign),(Citation: Lookout FrozenCell),(Citation: Symantec GoldenCup),(Citation: Lookout Desert Scorpion),(Citation: Cylance Dust Storm),(Citation: BlackBerry Bahamut),(Citation: Zscaler TikTok Spyware),"
T1541,Foreground Persistence,"Adversaries may abuse Android's `startForeground()` API method to maintain continuous sensor access. Beginning in Android 9, idle applications running in the background no longer have access to device sensors, such as the camera, microphone, and gyroscope.(Citation: Android-SensorsOverview) Applications can retain sensor access by running in the foreground, using Android’s `startForeground()` API method. This informs the system that the user is actively interacting with the application, and it should not be killed. The only requirement to start a foreground service is showing a persistent notification to the user.(Citation: Android-ForegroundServices)

Malicious applications may abuse the `startForeground()` API method to continue running in the foreground, while presenting a notification to the user pretending to be a genuine application. This would allow unhindered access to the device’s sensors, assuming permission has been previously granted.(Citation: BlackHat Sutter Android Foreground 2019)

Malicious applications may also abuse the `startForeground()` API to inform the Android system that the user is actively interacting with the application, thus preventing it from being killed by the low memory killer.(Citation: TrendMicro-Yellow Camera)",https://attack.mitre.org/techniques/T1541,19 November 2019,08 April 2022,2.0,"Lorin Wu, Trend Micro","Defense Evasion, Persistence","Users can see persistent notifications in their notification drawer and can subsequently uninstall applications that do not belong. Applications could be vetted for their use of the `startForeground()` API, and could be further scrutinized if usage is found.",Android,Post-Adversary Device Access,APP-19,"(Citation: WhiteOps TERRACOTTA),(Citation: Bitdefender Mandrake),(Citation: Zscaler TikTok Spyware),"
T1417.002,GUI Input Capture,"Adversaries may mimic common operating system GUI components to prompt users for sensitive information with a seemingly legitimate prompt. The operating system and installed applications often have legitimate needs to prompt the user for sensitive information such as account credentials, bank account information, or Personally Identifiable Information (PII). Compared to traditional PCs, the constrained display size of mobile devices may impair the ability to provide users with contextual information, making users more susceptible to this technique’s use.(Citation: Felt-PhishingOnMobileDevices)

There are several approaches adversaries may use to mimic this functionality. Adversaries may impersonate the identity of a legitimate application (e.g. use the same application name and/or icon) and, when installed on the device, may prompt the user for sensitive information.(Citation: eset-finance) Adversaries may also send fake device notifications to the user that may trigger the display of an input prompt when clicked.(Citation: Group IB Gustuff Mar 2019) 

Additionally, adversaries may display a prompt on top of a running, legitimate application to trick users into entering sensitive information into a malicious application rather than the legitimate application. Typically, adversaries need to know when the targeted application and the individual activity within the targeted application is running in the foreground to display the prompt at the proper time. Adversaries can abuse Android’s accessibility features to determine which application is currently in the foreground.(Citation: ThreatFabric Cerberus) Two known approaches to displaying a prompt include:

* Adversaries start a new activity on top of a running legitimate application.(Citation: Felt-PhishingOnMobileDevices)(Citation: Hassell-ExploitingAndroid) Android 10 places new restrictions on the ability for an application to start a new activity on top of another application, which may make it more difficult for adversaries to utilize this technique.(Citation: Android Background)
* Adversaries create an application overlay window on top of a running legitimate application. Applications must hold the `SYSTEM_ALERT_WINDOW` permission to create overlay windows. This permission is handled differently than typical Android permissions and, at least under certain conditions, is automatically granted to applications installed from the Google Play Store.(Citation: Cloak and Dagger)(Citation: NowSecure Android Overlay)(Citation: Skycure-Accessibility) The `SYSTEM_ALERT_WINDOW` permission and its associated ability to create application overlay windows are expected to be deprecated in a future release of Android in favor of a new API.(Citation: XDA Bubbles)",https://attack.mitre.org/techniques/T1417/002,05 April 2022,05 April 2022,1.0,,"Collection, Credential Access","Android users can view and manage which applications hold the `SYSTEM_ALERT_WINDOW` permission through the device settings in Apps & notifications -> Special app access -> Display over other apps (the exact menu location may vary between Android versions). 

Application vetting services can look for applications requesting the `android.permission.SYSTEM_ALERT_WINDOW` permission in the list of permissions in the app manifest. ","Android, iOS",Post-Adversary Device Access,APP-31,"(Citation: ThreatFabric Ginp),(Citation: Threat Fabric Cerberus),(Citation: securelist rotexy 2018),(Citation: Talos Gustuff Apr 2019),(Citation: Talos GPlayed),(Citation: Cofense Anubis),(Citation: Zscaler TikTok Spyware),(Citation: Bitdefender Mandrake),(Citation: Group IB Gustuff Mar 2019),(Citation: WhiteOps TERRACOTTA),(Citation: PaloAlto-XcodeGhost),(Citation: Kaspersky Riltok June 2019),(Citation: Threat Fabric Exobot),(Citation: Cybereason EventBot),(Citation: Lookout-Dendroid),(Citation: Proofpoint-Marcher),(Citation: PaloAlto-Xbot),(Citation: Lookout Dark Caracal Jan 2018),(Citation: Sophos Red Alert 2.0),(Citation: Android 12 Features)"
T1643,Generate Traffic from Victim,"Adversaries may generate outbound traffic from devices. This is typically performed to manipulate external outcomes, such as to achieve carrier billing fraud or to manipulate app store rankings or ratings. Outbound traffic is typically generated as SMS messages or general web traffic, but may take other forms as well.

If done via SMS messages, Android apps must hold the `SEND_SMS` permission. Additionally, sending an SMS message requires user consent if the recipient is a premium number. Applications cannot send SMS messages on iOS",https://attack.mitre.org/techniques/T1643,06 April 2022,06 April 2022,1.0,,Impact,"On Android, users can review which applications can use premium SMS features in the “Special access” page within application settings. Application vetting services can detect when applications request the `SEND_SMS` permission, which should be infrequently used.","Android, iOS",Post-Adversary Device Access,APP-16,"(Citation: WhiteOps TERRACOTTA),(Citation: ArsTechnica-HummingWhale),(Citation: Google Bread),(Citation: CheckPoint-Judy),(Citation: Kaspersky Triada June 2016),(Citation: ArsTechnica-HummingBad),(Citation: Lookout-BrainTest),(Citation: Gooligan Citation),(Citation: Google Security Zen),(Citation: WeLiveSecurity AdDisplayAshas),(Citation: CheckPoint SimBad 2019),(Citation: Google Triada June 2019),(Citation: Tripwire-MazarBOT),(Citation: CheckPoint Agent Smith),(Citation: Wandera-RedDrop),(Citation: Lookout-EnterpriseApps),"
